grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
1857,CoinTool.App,0.85,1,1,2,2,4.3
7956,meem protocol,0.38304077226408506,3,3,3,3,4.400715
6941,Update & Upkeep Challenge - Ch,0.7649675,2,1,2,2,4.470065
982,future modern (panvala league,0.25,2,1,2,2,4.5
5964,Matter Protocol:  the basic ru,0.16089438847587842,1,1,4,4,4.5000271000000005
404,DAOcast,0.4081143433627216,2,1,2,3,4.50032812
5080,HolovieLab - Narrative legos f,0.21651926560597837,3,2,3,4,4.50063066
1464,kontext.app — a Crypto Twitter,0.12764812740860304,2,3,4,4,4.50410915
7976,Aquarian Creative: Artist-In-R,0.704161239280691,2,2,1,3,4.512568120000001
389,AlphaOnChain,0.23337688169178683,3,2,3,4,4.5395616599999995
327,DeFi Fund,0.2561269344261305,2,2,3,4,4.59210066
4795,Miga Labs - Eth2 Consensus Lay,0.7515357898774128,2,2,3,3,4.66866
7953,**ETH infra** Grant for LexDAO,0.6557979541510225,3,1,2,3,4.751247
1093,Snapshot,1.34251924,1,1,2,2,4.75427048
4719,Defining Web3: An Off-Chain Co,0.29689604660144514,3,3,4,4,4.77338927
4817,"Changeblock - Together, Anythi",0.4298250981762492,3,2,2,3,4.78526
1139,MetaCartel NFT Awards (Panvala,0.0,1,1,1,1,4.879535876769316
104,Wallets.Review,0.0,1,1,1,1,4.999999999999999
126,#HumansOfEthereum,0.0,1,1,1,1,4.999999999999999
318,_Prtcl - Incorporation as a le,0.0,1,1,1,1,4.999999999999999
556,The Department of Decentraliza,0.0,1,1,1,1,4.999999999999999
810,Black Girls CODE,0.0,1,1,1,1,4.999999999999999
1175,ETH Gas.watch,0.0,1,1,1,1,4.999999999999999
1732,Ethereum Explorer,0.0,1,1,1,1,4.999999999999999
2054,Economics Design Education,0.0,1,1,1,1,4.999999999999999
3694,Paralelni Polis - Institute of,0.0,1,1,1,1,4.999999999999999
4170,Nuggan's license to BUIDL,0.0,1,1,1,1,4.999999999999999
4503,Osmotic Funding,0.0,1,1,1,1,4.999999999999999
4981,Greenpill digital campfire,0.0,1,1,1,1,4.999999999999999
5079,Shrine House - Decentralized R,0.0,1,1,1,1,4.999999999999999
6683,Tayaba: Help-2-Others (H2O),0.0,1,1,1,1,4.999999999999999
6907,Lilith's license to buidl,0.0,1,1,1,1,4.999999999999999
7378,LoFiRe - Local-First Repositor,0.4714045207910317,1,1,3,3,5.0
347,CryptoScamDB,0.0,1,1,1,1,5.0
516,Interspace.chat,0.0,1,1,1,1,5.0
769,Writing is Designing,0.0,1,1,1,1,5.0
1118,DXdao's Panvala League DeFi Co,0.0,1,1,1,1,5.0
2952,Aggadom - Web3 infrastructure,0.0,1,1,1,1,5.0
4444,Rust EVM (revm),0.0,1,1,1,1,5.0
6259,Interactive NFT Art,0.0,1,1,1,1,5.0
6931,ETH-XMR Atomic Swap continued,0.0,1,1,1,1,5.0
7805,Virgil Griffith Legal Defense,0.0,1,1,1,1,5.0
7914,ReConnection Tech,0.03581360690910648,3,3,3,5,5.0919430000000006
4091,SolidarityCard - From competit,0.42004082241567664,2,2,3,4,5.10291845
5138,pools.invis.cloud - Popular Et,0.9975037511068431,2,2,3,3,5.1160250000000005
7632,A place to host regenerative c,0.03857455355139701,2,2,3,5,5.1208809
7436,Beyond Decentralized,0.5664549999999999,2,2,2,2,5.13291
4331,Blind dev projects,0.0,1,1,1,1,5.134600000000001
4799,DAO Masters - Researching DAO,0.41039116520796354,3,2,4,4,5.1677420000000005
6892,Anspar - Decentralize By Going,0.20745317849381711,2,1,2,4,5.175545
6417,Our3: putting real-world produ,0.09992240394366572,2,2,3,5,5.250778975
554,Commūnitās,0.09900647448437708,3,2,4,5,5.2606629
